organism,ID_link,CSPA category,UP_Protein_name,UP_entry_name,CD,ENTREZ_gene_ID,ENTREZ gene symbol,protein probability,count detection in different cell types,Phobius TM predicted yes/no,# predicted TM domains,GPI,UniProt cell surface
Mouse,Q61190,1 - high confidence,Interleukin-10 receptor subunit beta,I10R2_MOUSE,CDw210b,16155,Il10rb,0.9906,1,1,1,0,yes
Mouse,P17182,1 - high confidence,Alpha-enolase,ENOA_MOUSE,no,13806,Eno1,1,11,0,0,0,yes
Mouse,P68040,1 - high confidence,Guanine nucleotide-binding protein subunit beta-2-like 1,GBLP_MOUSE,no,14694,Gnb2l1,1,10,0,0,0,yes
Mouse,P97321,1 - high confidence,Seprase,SEPR_MOUSE,no,14089,Fap,1,1,0,0,0,yes
Mouse,Q60932,1 - high confidence,Voltage-dependent anion-selective channel protein 1,VDAC1_MOUSE,no,22333,Vdac1,1,16,0,0,0,yes
Mouse,Q9Z1Q5,1 - high confidence,Chloride intracellular channel protein 1,CLIC1_MOUSE,no,114584,Clic1,1,3,0,0,0,yes
Mouse,Q8C3Q5,1 - high confidence,Protein shisa-6-like,SHS6L_MOUSE,no,232813,0,0.9973,1,0,0,0,yes
Mouse,Q7TN16,1 - high confidence,Hedgehog-interacting protein,HHIP_MOUSE,no,15245,Hhip,0.996,2,0,0,0,yes
Mouse,P84091,1 - high confidence,AP-2 complex subunit mu,AP2M1_MOUSE,no,11773,Ap2m1,0.9951,6,0,0,0,yes
Mouse,Q8C8R3,1 - high confidence,Ankyrin-2,ANK2_MOUSE,no,109676,Ank2,0.9945,1,0,0,0,yes
Mouse,Q3TNL8,1 - high confidence,"Inositol 1,4,5-triphosphate receptor-interacting protein",IPRI_MOUSE,no,414801,Itprip,0.9894,3,0,0,0,yes
Mouse,P01898,1 - high confidence,"H-2 class I histocompatibility antigen, Q10 alpha chain",HA10_MOUSE,no,15007,H2-Q10,0.9819,16,0,0,0,yes
Mouse,A6H584,1 - high confidence,Collagen alpha-5(VI) chain,CO6A5_MOUSE,no,665033,Col29a1,1,3,0,0,0,yes
Mouse,O08665,1 - high confidence,Semaphorin-3A,SEM3A_MOUSE,no,20346,Sema3a,1,3,0,0,0,yes
Mouse,O70340,1 - high confidence,Neuronal pentraxin-2,NPTX2_MOUSE,no,53324,Nptx2,1,7,0,0,0,yes
Mouse,P01872,1 - high confidence,Ig mu chain C region secreted form,IGHM_MOUSE,no,16019,Igh-6,1,5,0,0,0,yes
Mouse,P01881,1 - high confidence,Ig delta chain C region secreted form,IGHD_MOUSE,no,0,0,1,2,0,0,0,yes
Mouse,P02468,1 - high confidence,Laminin subunit gamma-1,LAMC1_MOUSE,no,226519,Lamc1,1,23,0,0,0,yes
Mouse,P02469,1 - high confidence,Laminin subunit beta-1,LAMB1_MOUSE,no,16777,Lamb1-1,1,20,0,0,0,yes
Mouse,P07356,1 - high confidence,Annexin A2,ANXA2_MOUSE,no,12306,Anxa2,1,11,0,0,0,yes
Mouse,P11276,1 - high confidence,Fibronectin,FINC_MOUSE,no,14268,Fn1,1,26,0,0,0,yes
Mouse,P19137,1 - high confidence,Laminin subunit alpha-1,LAMA1_MOUSE,no,16772,Lama1,1,16,0,0,0,yes
Mouse,P21956,1 - high confidence,Lactadherin,MFGM_MOUSE,no,17304,Mfge8,1,12,0,0,0,yes
Mouse,P24383,1 - high confidence,Protein Wnt-7a,WNT7A_MOUSE,no,22421,Wnt7a,1,2,0,0,0,yes
Mouse,P28047,1 - high confidence,Protein Wnt-7b,WNT7B_MOUSE,no,22422,Wnt7b,1,2,0,0,0,yes
Mouse,P28798,1 - high confidence,Granulins,GRN_MOUSE,no,14824,Grn,1,5,0,0,0,yes
Mouse,P29699,1 - high confidence,Alpha-2-HS-glycoprotein,FETUA_MOUSE,no,11625,Ahsg,1,13,0,0,0,yes
Mouse,P37889,1 - high confidence,Fibulin-2,FBLN2_MOUSE,no,14115,Fbln2,1,4,0,0,0,yes
Mouse,P39061,1 - high confidence,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin],COIA1_MOUSE,no,12822,Col18a1,1,13,0,0,0,yes
Mouse,P55065,1 - high confidence,Phospholipid transfer protein,PLTP_MOUSE,no,18830,Pltp,1,10,0,0,0,yes
Mouse,P55066,1 - high confidence,Neurocan core protein,NCAN_MOUSE,no,13004,Ncan,1,3,0,0,0,yes
Mouse,P58022,1 - high confidence,Lysyl oxidase homolog 2,LOXL2_MOUSE,no,94352,Loxl2,1,4,0,0,0,yes
Mouse,P58242,1 - high confidence,Acid sphingomyelinase-like phosphodiesterase 3b,ASM3B_MOUSE,no,100340,Smpdl3b,1,19,0,0,0,yes
Mouse,P62960,1 - high confidence,Nuclease-sensitive element-binding protein 1,YBOX1_MOUSE,no,22608,Ybx1,1,10,0,0,0,yes
Mouse,P98086,1 - high confidence,Complement C1q subcomponent subunit A,C1QA_MOUSE,no,12259,C1qa,1,4,0,0,0,yes
Mouse,Q00493,1 - high confidence,Carboxypeptidase E,CBPE_MOUSE,no,12876,Cpe,1,8,0,0,0,yes
Mouse,Q02788,1 - high confidence,Collagen alpha-2(VI) chain,CO6A2_MOUSE,no,12834,Col6a2,1,7,0,0,0,yes
Mouse,Q03311,1 - high confidence,Cholinesterase,CHLE_MOUSE,no,12038,Bche,1,1,0,0,0,yes
Mouse,Q04857,1 - high confidence,Collagen alpha-1(VI) chain,CO6A1_MOUSE,no,12833,Col6a1,1,3,0,0,0,yes
Mouse,Q05793,1 - high confidence,Basement membrane-specific heparan sulfate proteoglycan core protein,PGBM_MOUSE,no,15530,Hspg2,1,18,0,0,0,yes
Mouse,Q06890,1 - high confidence,Clusterin,CLUS_MOUSE,no,12759,Clu,1,15,0,0,0,yes
Mouse,Q07797,1 - high confidence,Galectin-3-binding protein,LG3BP_MOUSE,no,19039,Lgals3bp,1,16,0,0,0,yes
Mouse,Q3UQ28,1 - high confidence,Peroxidasin homolog,PXDN_MOUSE,no,69675,Pxdn,1,10,0,0,0,yes
Mouse,Q3V1M1,1 - high confidence,Immunoglobulin superfamily member 10,IGS10_MOUSE,no,242050,Igsf10,1,6,0,0,0,yes
Mouse,Q3V1T4,1 - high confidence,Prolyl 3-hydroxylase 1,P3H1_MOUSE,no,56401,Lepre1,1,6,0,0,0,yes
Mouse,Q60675,1 - high confidence,Laminin subunit alpha-2,LAMA2_MOUSE,no,16773,Lama2,1,1,0,0,0,yes
Mouse,Q60847,1 - high confidence,Collagen alpha-1(XII) chain,COCA1_MOUSE,no,12816,Col12a1,1,6,0,0,0,yes
Mouse,Q61001,1 - high confidence,Laminin subunit alpha-5,LAMA5_MOUSE,no,16776,Lama5,1,18,0,0,0,yes
Mouse,Q61147,1 - high confidence,Ceruloplasmin,CERU_MOUSE,no,12870,Cp,1,16,0,0,0,yes
Mouse,Q61292,1 - high confidence,Laminin subunit beta-2,LAMB2_MOUSE,no,16779,Lamb2,1,5,0,0,0,yes
Mouse,Q61554,1 - high confidence,Fibrillin-1,FBN1_MOUSE,no,14118,Fbn1,1,9,0,0,0,yes
Mouse,Q61555,1 - high confidence,Fibrillin-2,FBN2_MOUSE,no,14119,Fbn2,1,7,0,0,0,yes
Mouse,Q61838,1 - high confidence,Alpha-2-macroglobulin,A2M_MOUSE,no,232345,A2m,1,6,0,0,0,yes
Mouse,Q66PY1,1 - high confidence,"Signal peptide, CUB and EGF-like domain-containing protein 3",SCUB3_MOUSE,no,268935,Scube3,1,2,0,0,0,yes
Mouse,Q6DFY8,1 - high confidence,Protein FAM5B,FAM5B_MOUSE,no,240843,Fam5b,1,5,0,0,0,yes
Mouse,Q80T21,1 - high confidence,ADAMTS-like protein 4,ATL4_MOUSE,no,229595,Adamtsl4,1,4,0,0,0,yes
Mouse,Q80YX1,1 - high confidence,Tenascin,TENA_MOUSE,no,21923,Tnc,1,11,0,0,0,yes
Mouse,Q8BHE5,1 - high confidence,Bone morphogenetic protein 3,BMP3_MOUSE,no,110075,Bmp3,1,1,0,0,0,yes
Mouse,Q8BZ64,1 - high confidence,Tectonic-1,TECT1_MOUSE,no,654470,Tctn1,1,3,0,0,0,yes
Mouse,Q8C6K9,1 - high confidence,Collagen alpha-6(VI) chain,CO6A6_MOUSE,no,245026,Col6a6,1,2,0,0,0,yes
Mouse,Q8CG19,1 - high confidence,Latent-transforming growth factor beta-binding protein 1,LTBP1_MOUSE,no,268977,Ltbp1,1,11,0,0,0,yes
Mouse,Q8HW98,1 - high confidence,IgLON family member 5,IGLO5_MOUSE,no,210094,Iglon5,1,17,0,0,0,yes
Mouse,Q8K482,1 - high confidence,EMILIN-2,EMIL2_MOUSE,no,246707,Emilin2,1,2,0,0,0,yes
Mouse,Q91VF5,1 - high confidence,EMI domain-containing protein 1,EMID1_MOUSE,no,140703,Emid1,1,1,0,0,0,yes
Mouse,Q99K41,1 - high confidence,EMILIN-1,EMIL1_MOUSE,no,100952,Emilin1,1,13,0,0,0,yes
Mouse,Q9CQN4,1 - high confidence,Sclerostin domain-containing protein 1,SOSD1_MOUSE,no,66042,Sostdc1,1,1,0,0,0,yes
Mouse,Q9D1H9,1 - high confidence,Microfibril-associated glycoprotein 4,MFAP4_MOUSE,no,76293,Mfap4,1,6,0,0,0,yes
Mouse,Q9D6X6,1 - high confidence,Serine protease 23,PRS23_MOUSE,no,76453,Prss23,1,4,0,0,0,yes
Mouse,Q9DB72,1 - high confidence,BTB/POZ domain-containing protein 17,BTBDH_MOUSE,no,72014,Btbd17,1,8,0,0,0,yes
Mouse,Q9JIF7,1 - high confidence,Coatomer subunit beta,COPB_MOUSE,no,70349,Copb1,1,3,0,0,0,yes
Mouse,Q9JM58,1 - high confidence,Cytokine receptor-like factor 1,CRLF1_MOUSE,no,12931,Crlf1,1,5,0,0,0,yes
Mouse,Q9QZJ6,1 - high confidence,Microfibrillar-associated protein 5,MFAP5_MOUSE,no,50530,Mfap5,1,1,0,0,0,yes
Mouse,Q9R045,1 - high confidence,Angiopoietin-related protein 2,ANGL2_MOUSE,no,26360,Angptl2,1,6,0,0,0,yes
Mouse,Q9R1B9,1 - high confidence,Slit homolog 2 protein,SLIT2_MOUSE,no,20563,Slit2,1,6,0,0,0,yes
Mouse,Q9WVG5,1 - high confidence,Endothelial lipase,LIPE_MOUSE,no,16891,Lipg,1,3,0,0,0,yes
Mouse,Q9Z0L8,1 - high confidence,Gamma-glutamyl hydrolase,GGH_MOUSE,no,14590,Ggh,1,3,0,0,0,yes
Mouse,Q9Z1P8,1 - high confidence,Angiopoietin-related protein 4,ANGL4_MOUSE,no,57875,Angptl4,1,1,0,0,0,yes
Mouse,B2RPV6,1 - high confidence,Multimerin-1,MMRN1_MOUSE,no,70945,Mmrn1,0.9998,2,0,0,0,yes
Mouse,P0C7W3,1 - high confidence,Prosalusin,TOR2X_MOUSE,no,30933,Tor2a,0.9979,6,0,0,0,yes
Mouse,P29788,1 - high confidence,Vitronectin,VTNC_MOUSE,no,22370,Vtn,0.9979,7,0,0,0,yes
Mouse,Q62059,1 - high confidence,Versican core protein,CSPG2_MOUSE,no,13003,Vcan,0.9979,4,0,0,0,yes
Mouse,Q6GQT1,1 - high confidence,Alpha-2-macroglobulin-P,A2MP_MOUSE,no,232345,A2mp,0.9979,1,0,0,0,yes
Mouse,P11087,1 - high confidence,Collagen alpha-1(I) chain,CO1A1_MOUSE,no,12842,Col1a1,0.9975,4,0,0,0,yes
Mouse,O88783,1 - high confidence,Coagulation factor V,FA5_MOUSE,no,14067,F5,0.9974,6,0,0,0,yes
Mouse,Q7TNR6,1 - high confidence,Immunoglobulin superfamily member 21,IGS21_MOUSE,no,230868,Igsf21,0.9974,3,0,0,0,yes
Mouse,Q8BM13,1 - high confidence,Noelin-2,NOE2_MOUSE,no,244723,Olfm2,0.9973,5,0,0,0,yes
Mouse,Q8K4Z0,1 - high confidence,Leucine-rich repeat LGI family member 2,LGI2_MOUSE,no,246316,Lgi2,0.9973,1,0,0,0,yes
Mouse,O08538,1 - high confidence,Angiopoietin-1,ANGP1_MOUSE,no,11600,Angpt1,0.9972,2,0,0,0,yes
Mouse,Q9Z100,1 - high confidence,Probable carboxypeptidase X1,CPXM1_MOUSE,no,56264,Cpxm1,0.9972,2,0,0,0,yes
Mouse,O09118,1 - high confidence,Netrin-1,NET1_MOUSE,no,18208,Ntn1,0.9971,2,0,0,0,yes
Mouse,P04426,1 - high confidence,Proto-oncogene Wnt-1,WNT1_MOUSE,no,22408,Wnt1,0.9971,1,0,0,0,yes
Mouse,Q3UTY6,1 - high confidence,Thrombospondin type-1 domain-containing protein 4,THSD4_MOUSE,no,207596,Thsd4,0.9971,2,0,0,0,yes
Mouse,Q8CI19,1 - high confidence,Platelet-derived growth factor C,PDGFC_MOUSE,no,54635,Pdgfc,0.9971,1,0,0,0,yes
Mouse,Q8K4G1,1 - high confidence,Latent-transforming growth factor beta-binding protein 4,LTBP4_MOUSE,no,108075,Ltbp4,0.9971,1,0,0,0,yes
Mouse,Q9ER58,1 - high confidence,Testican-2,TICN2_MOUSE,no,94214,Spock2,0.9971,2,0,0,0,yes
Mouse,Q9JJS0,1 - high confidence,"Signal peptide, CUB and EGF-like domain-containing protein 2",SCUB2_MOUSE,no,56788,Scube2,0.9971,2,0,0,0,yes
Mouse,Q99M71,1 - high confidence,Mammalian ependymin-related protein 1,EPDR1_MOUSE,no,105298,Epdr1,0.9969,2,0,0,0,yes
Mouse,Q07104,1 - high confidence,Growth/differentiation factor 3,GDF3_MOUSE,no,14562,Gdf3,0.9968,2,0,0,0,yes
Mouse,O54819,1 - high confidence,Tissue factor pathway inhibitor,TFPI1_MOUSE,no,21788,Tfpi,0.9966,7,0,0,0,yes
Mouse,O88322,1 - high confidence,Nidogen-2,NID2_MOUSE,no,18074,Nid2,0.9966,14,0,0,0,yes
Mouse,P01868,1 - high confidence,Ig gamma-1 chain C region secreted form,IGHG1_MOUSE,no,16017,Ighg1,0.9966,4,0,0,0,yes
Mouse,P12032,1 - high confidence,Metalloproteinase inhibitor 1,TIMP1_MOUSE,no,21857,Timp1,0.9966,6,0,0,0,yes
Mouse,P28665,1 - high confidence,Murinoglobulin-1,MUG1_MOUSE,no,17836,Mug1,0.9966,1,0,0,0,yes
Mouse,P54751,1 - high confidence,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",SIA4A_MOUSE,no,20442,St3gal1,0.9966,11,0,0,0,yes
Mouse,Q61207,1 - high confidence,Sulfated glycoprotein 1,SAP_MOUSE,no,19156,Psap,0.9966,20,0,0,0,yes
Mouse,Q62356,1 - high confidence,Follistatin-related protein 1,FSTL1_MOUSE,no,14314,Fstl1,0.9966,5,0,0,0,yes
Mouse,Q99MQ4,1 - high confidence,Asporin,ASPN_MOUSE,no,66695,Aspn,0.9966,2,0,0,0,yes
Mouse,Q9CYD3,1 - high confidence,Cartilage-associated protein,CRTAP_MOUSE,no,56693,Crtap,0.9966,5,0,0,0,yes
Mouse,A2AVA0,1 - high confidence,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",SVEP1_MOUSE,no,64817,Svep1,0.9965,1,0,0,0,yes
Mouse,Q8CIF4,1 - high confidence,Biotinidase,BTD_MOUSE,no,26363,Btd,0.9965,2,0,0,0,yes
Mouse,Q8R2G6,1 - high confidence,Coiled-coil domain-containing protein 80,CCD80_MOUSE,no,67896,Ccdc80,0.9965,1,0,0,0,yes
Mouse,Q920C1,1 - high confidence,Chordin-like protein 1,CRDL1_MOUSE,no,83453,Chrdl1,0.9965,2,0,0,0,yes
Mouse,Q8BTG6,1 - high confidence,UPF0454 protein C12orf49 homolog,CL049_MOUSE,no,76792,0,0.9963,4,0,0,0,yes
Mouse,Q60963,1 - high confidence,Platelet-activating factor acetylhydrolase,PAFA_MOUSE,no,27226,Pla2g7,0.9962,1,0,0,0,yes
Mouse,P04769,1 - high confidence,Prolactin-7D1,PR7D1_MOUSE,no,18814,Prl7d1,0.996,1,0,0,0,yes
Mouse,P28481,1 - high confidence,Collagen alpha-1(II) chain,CO2A1_MOUSE,no,12824,Col2a1,0.996,3,0,0,0,yes
Mouse,P47878,1 - high confidence,Insulin-like growth factor-binding protein 3,IBP3_MOUSE,no,16009,Igfbp3,0.996,1,0,0,0,yes
Mouse,Q62181,1 - high confidence,Semaphorin-3C,SEM3C_MOUSE,no,20348,Sema3c,0.996,2,0,0,0,yes
Mouse,Q64527,1 - high confidence,Protein Wnt-8a,WNT8A_MOUSE,no,20890,Wnt8a,0.996,1,0,0,0,yes
Mouse,Q8VCC9,1 - high confidence,Spondin-1,SPON1_MOUSE,no,233744,Spon1,0.996,2,0,0,0,yes
Mouse,Q920A5,1 - high confidence,Retinoid-inducible serine carboxypeptidase,RISC_MOUSE,no,74617,Scpep1,0.996,2,0,0,0,yes
Mouse,O88207,1 - high confidence,Collagen alpha-1(V) chain,CO5A1_MOUSE,no,12831,Col5a1,0.9959,3,0,0,0,yes
Mouse,Q8BLX7,1 - high confidence,Collagen alpha-1(XVI) chain,COGA1_MOUSE,no,107581,Col16a1,0.9956,1,0,0,0,yes
Mouse,P50427,1 - high confidence,Steryl-sulfatase,STS_MOUSE,no,20905,Sts,0.9955,1,0,0,0,yes
Mouse,Q9DAY5,1 - high confidence,UPF0669 protein C6orf120 homolog,CF120_MOUSE,no,67912,0,0.9955,1,0,0,0,yes
Mouse,P04202,1 - high confidence,Transforming growth factor beta-1,TGFB1_MOUSE,no,21803,Tgfb1,0.9954,3,0,0,0,yes
Mouse,P52430,1 - high confidence,Serum paraoxonase/arylesterase 1,PON1_MOUSE,no,18979,Pon1,0.9954,4,0,0,0,yes
Mouse,Q61508,1 - high confidence,Extracellular matrix protein 1,ECM1_MOUSE,no,13601,Ecm1,0.9954,1,0,0,0,yes
Mouse,P28653,1 - high confidence,Biglycan,PGS1_MOUSE,no,12111,Bgn,0.9953,3,0,0,0,yes
Mouse,Q80TR4,1 - high confidence,Slit homolog 1 protein,SLIT1_MOUSE,no,20562,Slit1,0.9951,5,0,0,0,yes
Mouse,P21844,1 - high confidence,Chymase,CMA1_MOUSE,no,17228,Cma1,0.9948,1,0,0,0,yes
Mouse,P51885,1 - high confidence,Lumican,LUM_MOUSE,no,17022,Lum,0.9945,1,0,0,0,yes
Mouse,Q8BJD1,1 - high confidence,Inter-alpha-trypsin inhibitor heavy chain H5,ITIH5_MOUSE,no,209378,Itih5,0.9945,1,0,0,0,yes
Mouse,P11032,1 - high confidence,Granzyme A,GRAA_MOUSE,no,14938,Gzma,0.9935,1,0,0,0,yes
Mouse,P22725,1 - high confidence,Protein Wnt-5a,WNT5A_MOUSE,no,22418,Wnt5a,0.9931,4,0,0,0,yes
Mouse,Q61361,1 - high confidence,Brevican core protein,PGCB_MOUSE,no,12032,Bcan,0.9931,3,0,0,0,yes
Mouse,P28654,1 - high confidence,Decorin,PGS2_MOUSE,no,13179,Dcn,0.9928,1,0,0,0,yes
Mouse,Q62009,1 - high confidence,Periostin,POSTN_MOUSE,no,50706,Postn,0.9914,1,0,0,0,yes
Mouse,P02772,1 - high confidence,Alpha-fetoprotein,FETA_MOUSE,no,11576,Afp,0.9913,7,0,0,0,yes
Mouse,P63075,1 - high confidence,Fibroblast growth factor 17,FGF17_MOUSE,no,14171,Fgf17,0.99,7,0,0,0,yes
Mouse,P97927,1 - high confidence,Laminin subunit alpha-4,LAMA4_MOUSE,no,16775,Lama4,0.9898,3,0,0,0,yes
Mouse,P10493,1 - high confidence,Nidogen-1,NID1_MOUSE,no,18073,Nid1,0.9889,2,0,0,0,yes
Mouse,Q9QUN9,1 - high confidence,Dickkopf-related protein 3,DKK3_MOUSE,no,50781,Dkk3,0.9881,1,0,0,0,yes
Mouse,P50608,1 - high confidence,Fibromodulin,FMOD_MOUSE,no,14264,Fmod,0.987,1,0,0,0,yes
Mouse,Q9WVB4,1 - high confidence,Slit homolog 3 protein,SLIT3_MOUSE,no,20564,Slit3,0.9817,5,0,0,0,yes
Mouse,P98064,1 - high confidence,Mannan-binding lectin serine protease 1,MASP1_MOUSE,no,17174,Masp1,0.9639,1,0,0,0,yes
Mouse,Q9EQF4,1 - high confidence,Probable folate receptor delta,FOLR4_MOUSE,no,64931,Folr4,0.9538,6,0,0,0,yes
Mouse,Q9JM99,1 - high confidence,Proteoglycan 4,PRG4_MOUSE,no,96875,Prg4,0.94,8,0,0,0,yes
Mouse,P08121,1 - high confidence,Collagen alpha-1(III) chain,CO3A1_MOUSE,no,12825,Col3a1,0.93,2,0,0,0,yes
Mouse,P11214,1 - high confidence,Tissue-type plasminogen activator,TPA_MOUSE,no,18791,Plat,0.9201,2,0,0,0,yes
Mouse,O88998,1 - high confidence,Noelin,NOE1_MOUSE,no,56177,Olfm1,1,2,0,0,0,yes
Mouse,P18242,1 - high confidence,Cathepsin D,CATD_MOUSE,no,13033,Ctsd,1,9,0,0,0,yes
Mouse,P61979,1 - high confidence,Heterogeneous nuclear ribonucleoprotein K,HNRPK_MOUSE,no,15387,Hnrnpk,1,16,0,0,0,yes
Mouse,P98063,1 - high confidence,Bone morphogenetic protein 1,BMP1_MOUSE,no,12153,Bmp1,1,16,0,0,0,yes
Mouse,O35887,1 - high confidence,Calumenin,CALU_MOUSE,no,12321,Calu,0.9966,9,0,0,0,yes
Mouse,P10605,1 - high confidence,Cathepsin B,CATB_MOUSE,no,13030,Ctsb,0.9954,5,0,0,0,yes
Mouse,O08842,1 - high confidence,GDNF family receptor alpha-2,GFRA2_MOUSE,no,14586,Gfra2,1,8,0,0,1,yes
Mouse,O35632,1 - high confidence,Hyaluronidase-2,HYAL2_MOUSE,no,15587,Hyal2,1,4,0,0,1,yes
Mouse,O88507,1 - high confidence,Ciliary neurotrophic factor receptor subunit alpha,CNTFR_MOUSE,no,12804,Cntfr,1,16,0,0,1,yes
Mouse,P09242,1 - high confidence,"Alkaline phosphatase, tissue-nonspecific isozyme",PPBT_MOUSE,no,11647,Alpl,1,21,0,0,1,yes
Mouse,P35846,1 - high confidence,Folate receptor alpha,FOLR1_MOUSE,no,14275,Folr1,1,4,0,0,1,yes
Mouse,Q05685,1 - high confidence,Folate receptor beta,FOLR2_MOUSE,no,14276,Folr2,1,5,0,0,1,yes
Mouse,Q0PMG2,1 - high confidence,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,MDGA1_MOUSE,no,74762,Mdga1,1,1,0,0,1,yes
Mouse,Q6PCX7,1 - high confidence,Repulsive guidance molecule A,RGMA_MOUSE,no,244058,Rgma,1,6,0,0,1,yes
Mouse,Q8BLK3,1 - high confidence,Limbic system-associated membrane protein,LSAMP_MOUSE,no,268890,Lsamp,1,7,0,0,1,yes
Mouse,Q8C255,1 - high confidence,Dipeptidase 2,DPEP2_MOUSE,no,319446,Dpep2,1,2,0,0,1,yes
Mouse,Q99PJ0,1 - high confidence,Neurotrimin,NTRI_MOUSE,no,235106,Ntm,1,9,0,0,1,yes
Mouse,Q9JMI7,1 - high confidence,Testis-expressed protein 101,TX101_MOUSE,no,56746,Tex101,1,6,0,0,1,yes
Mouse,Q9WUC3,1 - high confidence,Lymphocyte antigen 6H,LY6H_MOUSE,no,23934,Ly6h,1,8,0,0,1,yes
Mouse,Q9D7S0,1 - high confidence,Uncharacterized protein UNQ511/PRO1026 homolog,YA003_MOUSE,no,70163,0,0.9999,1,0,0,1,yes
Mouse,Q9JMB8,1 - high confidence,Contactin-6,CNTN6_MOUSE,no,53870,Cntn6,0.9973,1,0,0,1,yes
Mouse,P11152,1 - high confidence,Lipoprotein lipase,LIPL_MOUSE,no,16956,Lpl,0.9972,3,0,0,1,yes
Mouse,P57096,1 - high confidence,Prostate stem cell antigen,PSCA_MOUSE,no,72373,Psca,0.9971,1,0,0,1,yes
Mouse,Q64444,1 - high confidence,Carbonic anhydrase 4,CAH4_MOUSE,no,12351,Ca4,0.9968,1,0,0,1,yes
Mouse,P52801,1 - high confidence,Ephrin-A2,EFNA2_MOUSE,no,13637,Efna2,0.9966,5,0,0,1,yes
Mouse,Q61330,1 - high confidence,Contactin-2,CNTN2_MOUSE,no,21367,Cntn2,0.9966,6,0,0,1,yes
Mouse,O35118,1 - high confidence,GDNF family receptor alpha-3,GFRA3_MOUSE,no,14587,Gfra3,0.9938,1,0,0,1,yes
Mouse,P51655,1 - high confidence,Glypican-4,GPC4_MOUSE,no,14735,Gpc4,0.9938,3,0,0,1,yes
Mouse,Q63912,1 - high confidence,Oligodendrocyte-myelin glycoprotein,OMGP_MOUSE,no,18377,Omg,0.9931,3,0,0,1,yes
Mouse,Q8R4F1,1 - high confidence,Netrin-G2,NTNG2_MOUSE,no,171171,Ntng2,0.9922,3,0,0,1,yes
Mouse,P31428,1 - high confidence,Dipeptidase 1,DPEP1_MOUSE,no,13479,Dpep1,0.9819,3,0,0,1,yes
Mouse,A2A8L5,1 - high confidence,Receptor-type tyrosine-protein phosphatase F,PTPRF_MOUSE,no,19268,Ptprf,1,16,1,1,0,yes
Mouse,A2AFS3,1 - high confidence,UPF0577 protein KIAA1324,K1324_MOUSE,no,229722,Kiaa1324,1,2,1,1,0,yes
Mouse,A2AJN7,1 - high confidence,Sodium bicarbonate transporter-like protein 11,S4A11_MOUSE,no,269356,Slc4a11,1,4,1,11,0,yes
Mouse,A2ARI4,1 - high confidence,Leucine-rich repeat-containing G-protein coupled receptor 4,LGR4_MOUSE,no,107515,Lgr4,1,9,1,7,0,yes
Mouse,A2ARV4,1 - high confidence,Low-density lipoprotein receptor-related protein 2,LRP2_MOUSE,no,14725,Lrp2,1,13,1,1,0,yes
Mouse,O08530,1 - high confidence,Sphingosine 1-phosphate receptor 1,S1PR1_MOUSE,no,13609,S1pr1,1,14,1,7,0,yes
Mouse,O08532,1 - high confidence,Voltage-dependent calcium channel subunit alpha-2/delta-1,CA2D1_MOUSE,no,12293,Cacna2d1,1,24,1,1,0,yes
Mouse,O08747,1 - high confidence,Netrin receptor UNC5C,UNC5C_MOUSE,no,22253,Unc5c,1,7,1,1,0,yes
Mouse,O09047,1 - high confidence,C3a anaphylatoxin chemotactic receptor,C3AR_MOUSE,no,12267,C3ar1,1,3,1,7,0,yes
Mouse,O35161,1 - high confidence,Cadherin EGF LAG seven-pass G-type receptor 1,CELR1_MOUSE,no,12614,Celsr1,1,6,1,7,0,yes
Mouse,O35316,1 - high confidence,Sodium- and chloride-dependent taurine transporter,SC6A6_MOUSE,no,21366,Slc6a6,1,21,1,12,0,yes
Mouse,O35393,1 - high confidence,Ephrin-B3,EFNB3_MOUSE,no,13643,Efnb3,1,13,1,1,0,yes
Mouse,O35409,1 - high confidence,Glutamate carboxypeptidase 2,FOLH1_MOUSE,no,53320,Folh1,1,2,1,1,0,yes
Mouse,O35659,1 - high confidence,Glucagon-like peptide 1 receptor,GLP1R_MOUSE,no,14652,Glp1r,1,1,1,7,0,yes
Mouse,O35714,1 - high confidence,Tumor necrosis factor receptor superfamily member 18,TNR18_MOUSE,no,21936,Tnfrsf18,1,3,1,1,0,yes
Mouse,O54732,1 - high confidence,Matrix metalloproteinase-15,MMP15_MOUSE,no,17388,Mmp15,1,13,1,1,0,yes
Mouse,O54991,1 - high confidence,Contactin-associated protein 1,CNTP1_MOUSE,no,53321,Cntnap1,1,5,1,1,0,yes
Mouse,O70174,1 - high confidence,Neuronal acetylcholine receptor subunit alpha-4,ACHA4_MOUSE,no,11438,Chrna4,1,3,1,4,0,yes
Mouse,O70255,1 - high confidence,Myelin protein zero-like protein 2,MPZL2_MOUSE,no,14012,Mpzl2,1,6,1,1,0,yes
Mouse,O70309,1 - high confidence,Integrin beta-5,ITB5_MOUSE,no,16419,Itgb5,1,12,1,1,0,yes
Mouse,O70458,1 - high confidence,Oncostatin-M-specific receptor subunit beta,OSMR_MOUSE,no,18414,Osmr,1,10,1,1,0,yes
